class_id,teacher_id,class_creation_date,student_count,problem_sets_assigned,skill_builders_assigned
29007,394723,2020-06-27 00:29:29.143000-04:00,7,1,0
5468,58494,2019-11-02 20:45:40.488000-04:00,17,21,0
20549,240275,2020-04-08 17:46:07.742000-04:00,25,50,0
26770,307914,2020-05-04 13:41:12.817000-04:00,16,1,3
23000,265590,2020-04-15 13:36:30.706000-04:00,18,16,0
9038,115342,2020-03-15 10:55:35.026000-04:00,6,3,0
25886,338744,2020-04-27 16:52:57.610000-04:00,14,2,0
1750,9543,2019-08-19 09:37:10.804000-04:00,40,4,0
4321,58280,2019-10-03 15:19:37.787000-04:00,17,7,0
28031,383020,2020-05-22 00:57:21.955000-04:00,20,1,0
23851,297012,2020-04-18 13:37:10.072000-04:00,17,13,0
1552,14225,2019-08-14 13:19:05.074000-04:00,21,12,0
23393,252090,2020-04-16 14:03:47.887000-04:00,19,7,0
10792,131415,2020-03-19 22:20:19.845000-04:00,12,8,0
2204,22348,2019-08-27 10:09:44.240000-04:00,36,1,16
1373,11926,2019-08-09 00:39:40.892000-04:00,35,0,11
26100,342115,2020-04-28 16:10:15.169000-04:00,10,2,2
23986,166032,2020-04-19 13:30:48.779000-04:00,19,14,0
25574,332680,2020-04-26 14:19:12.733000-04:00,18,4,0
12251,143554,2020-03-24 11:19:13.152000-04:00,1,0,1
1595,13598,2019-08-15 08:20:55.043000-04:00,2,91,0
11158,133629,2020-03-20 17:22:16.752000-04:00,1,1,0
8660,31381,2020-03-13 08:31:23.053000-04:00,14,3,0
4452,38317,2019-10-07 11:32:54.745000-04:00,26,3,0
19073,246192,2020-04-06 08:47:43.508000-04:00,14,22,0
5604,71463,2019-11-07 09:21:10.869000-05:00,17,3,0
17697,200002,2020-04-03 01:11:47.691000-04:00,62,4,0
5644,77390,2019-11-07 20:58:39.229000-05:00,8,2,0
6258,85823,2019-12-05 15:43:50.652000-05:00,25,5,0
21274,164254,2020-04-10 15:47:03.345000-04:00,6,3,0
10431,128402,2020-03-19 10:33:28.653000-04:00,4,1,0
24784,317628,2020-04-21 21:59:42.629000-04:00,21,2,0
23241,286003,2020-04-16 00:28:20.035000-04:00,16,10,0
5436,225602,2019-11-01 07:48:53.489000-04:00,95,23,0
15945,179613,2020-03-31 12:13:12.639000-04:00,23,12,0
7064,85890,2020-01-23 12:52:55.294000-05:00,22,32,0
15177,168471,2020-03-30 12:58:25.212000-04:00,15,3,0
19608,204606,2020-04-06 23:08:21.561000-04:00,1,1,0
17968,201935,2020-04-03 12:39:46.735000-04:00,1,1,0
20961,246051,2020-04-09 16:30:34.809000-04:00,22,24,0
20967,191271,2020-04-09 16:44:26.358000-04:00,24,2,0
20244,16582,2020-04-08 10:27:34.194000-04:00,27,2,0
22840,248311,2020-04-15 07:43:45.093000-04:00,1,3,1
23087,278098,2020-04-15 15:28:30.729000-04:00,29,1,0
14747,162446,2020-03-30 09:48:11.899000-04:00,20,31,0
2952,35522,2019-09-09 13:16:04.972000-04:00,18,2,0
1006,4498,2019-07-22 11:21:14.725000-04:00,50,0,2
13184,153228,2020-03-26 14:15:04.300000-04:00,10,3,0
19381,20129,2020-04-06 14:36:13.687000-04:00,9,12,0
19331,215568,2020-04-06 13:37:31.069000-04:00,18,22,0
18379,204773,2020-04-04 09:05:51.312000-04:00,19,9,2
19592,221566,2020-04-06 21:53:24.878000-04:00,10,3,0
18751,206220,2020-04-05 16:31:19.537000-04:00,22,14,0
24348,156633,2020-04-20 11:58:32.190000-04:00,1,1,0
13831,157650,2020-03-27 15:32:47.420000-04:00,22,9,0
7154,98680,2020-01-27 11:23:29.405000-05:00,36,7,0
12045,140645,2020-03-23 15:54:23.165000-04:00,56,2,0
22759,275652,2020-04-14 17:53:13.966000-04:00,39,1,0
27214,368096,2020-05-08 17:22:37.485000-04:00,13,1,0
16267,184115,2020-03-31 16:56:03.853000-04:00,22,1,23
26606,354423,2020-05-03 10:37:43.879000-04:00,14,2,0
16858,77944,2020-04-01 16:55:07.574000-04:00,21,4,0
13030,152032,2020-03-26 11:52:21.925000-04:00,2,0,27
23925,70622,2020-04-18 20:33:52.645000-04:00,15,1,0
9890,121864,2020-03-17 14:43:31.575000-04:00,29,19,0
13344,151760,2020-03-26 17:56:24.400000-04:00,20,1,0
12686,141161,2020-03-25 13:06:32.787000-04:00,20,12,0
20513,228103,2020-04-08 16:37:13.362000-04:00,1,2,0
